run_name,seed,merge_inputs,imu_blend,batch_size,weight_decay,val_per_window_acc,vote_acc,locked_fraction,spatial_mean_m,spatial_std_m,n_wrong
baseline_seed42,42,vimu_only,0.0,128,1e-4,0.7719298245614035,0.5,0.02631578947368421,0.3340739607810974,0.23671351373195648,104
baseline_seed43,43,vimu_only,0.0,128,1e-4,0.7302631578947368,0.2777777777777778,0.039473684210526314,0.30284419655799866,0.2387688308954239,123
baseline_seed44,44,vimu_only,0.0,128,1e-4,0.7653508771929824,0.21052631578947367,0.04166666666666666,0.3427288234233856,0.24982941150665283,107
fusion_blend01_seed42,42,blend_global_imu,0.1,128,1e-4,0.7807017543859649,0.25,0.03508771929824561,0.33646270632743835,0.2066773623228073,100
fusion_blend02_seed42,42,blend_global_imu,0.2,128,1e-4,0.743421052631579,0.15,0.043859649122807015,0.34690675139427185,0.2528439164161682,117
reg_batch64_wd3e4_seed42,42,blend_global_imu,0.1,64,3e-4,0.7346491228070176,0.45,0.043859649122807015,0.3526538610458374,0.25601908564567566,121
